name,date,max_wind_speed
UNNAMED,1903-09-13,80
UNNAMED,1906-06-17,90
UNNAMED,1906-10-18,105
UNNAMED,1909-10-11,105
UNNAMED,1910-10-18,130
UNNAMED,1911-08-11,70
UNNAMED,1915-09-04,85
UNNAMED,1916-10-18,95
UNNAMED,1917-09-29,130
UNNAMED,1919-09-10,130
UNNAMED,1921-10-25,120
UNNAMED,1924-09-15,75
UNNAMED,1924-10-21,145
UNNAMED,1926-07-28,120
UNNAMED,1926-09-18,130
UNNAMED,1928-09-17,140
UNNAMED,1929-09-28,135
UNNAMED,1933-09-04,120
UNNAMED,1935-09-03,160
UNNAMED,1935-11-05,90
UNNAMED,1936-07-31,90
UNNAMED,1939-08-13,65
UNNAMED,1941-10-07,105
UNNAMED,1944-10-18,125
UNNAMED,1945-06-24,85
UNNAMED,1945-09-16,115
UNNAMED,1946-10-08,85
UNNAMED,1947-09-18,125
UNNAMED,1947-10-12,90
UNNAMED,1948-09-21,115
UNNAMED,1948-10-05,110
UNNAMED,1949-08-27,115
BAKER,1950-08-31,90
EASY,1950-09-05,105
KING,1950-10-18,115
FLORENCE,1953-09-26,100
HAZEL,1953-10-09,75
FLOSSY,1956-09-25,80
DONNA,1960-09-10,125
DORA,1964-09-10,115
ISBELL,1964-10-14,100
ALMA,1966-06-09,100
INEZ,1966-10-04,140
GLADYS,1968-10-18,85
AGNES,1972-06-19,75
ELOISE,1975-09-23,110
KATE,1985-11-21,105
FLOYD,1987-10-12,65
ANDREW,1992-08-24,150
ERIN,1995-08-03,85
OPAL,1995-10-04,130
DANNY,1997-07-19,70
EARL,1998-09-03,85
GEORGES,1998-09-25,135
IRENE,1999-10-15,95
CHARLEY,2004-08-13,130
JEANNE,2004-09-26,105
DENNIS,2005-07-10,130
KATRINA,2005-08-26,150
WILMA,2005-10-24,160
HERMINE,2016-09-02,70
IRMA,2017-09-10,155
MICHAEL,2018-10-10,140
SALLY,2020-09-16,95
IAN,2022-09-28,140
IDALIA,2023-08-30,115
